#robot1 : tanker, robot2 : speeder
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 100, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 50, 0, 30, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.085592653589793, 99, 0, 50, 'leftDown', '', 0, 0, '', 75, 60, 3.141592653589793, 49, 0, 30, '', ''
598, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 74.55209600977355, 40.39922677207225, 2.4135926535897925, 98, 0, 50, 'leftUp,upDown', '', 0, 0, '', 75, 60, 3.141592653589793, 48, 0, 30, '', ''
597, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 67.8335361563768, 46.38762835315595, 2.6935926535897927, 97, 0, 50, 'rightDown,upUp', '', 0, 0, '', 75, 60, 3.141592653589793, 47, 0, 30, '', ''
596, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 67.8335361563768, 46.38762835315595, 3.3935926535897933, 96, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 46, 0, 30, '', ''
595, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 67.8335361563768, 46.38762835315595, 4.009592653589793, 95, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 45, 0, 30, '', ''
594, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 68.39133573156631, 49.02890077891099, 4.513592653589786, 94, 0, 50, 'downDown,rightUp', '', 0, 0, '', 75, 60, 3.141592653589793, 44, 0, 30, '', ''
593, '0,0,0,1,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 69.40203915741243, 53.409105095762264, 4.093592653589792, 93, 0, 50, 'leftDown,downUp', '', 0, 0, '', 75, 60, 3.141592653589793, 43, 0, 30, '', ''
592, '0,0,0,1,0,0,0,1,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 92, 0, 50, 'downDown,leftUp,downUp', '', 0, 0, '', 75, 60, 3.141592653589793, 42, 0, 30, '', ''
591, '0,0,0,1,0,0,0,1,0,0', 0, 50, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 91, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 41, 0, 30, '', ''
590, '0,0,0,1,0,0,0,1,0,0', 0, 49.722222222222214, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 90, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 40, 0, 30, '', ''
589, '0,1,0,1,0,0,0,1,0,0', 0, 49.44444444444443, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 89, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 39, 0, 30, '', ''
588, '0,1,0,1,0,0,0,1,0,0', 0, 49.16666666666664, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 88, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 38, 0, 30, '', ''
587, '0,1,0,1,0,0,0,1,0,0', 0, 48.88888888888886, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 87, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 37, 0, 30, '', ''
586, '0,1,1,1,0,0,0,1,0,0', 0, 48.61111111111107, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 86, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 36, 0, 30, '', ''
585, '0,1,1,1,0,0,0,1,0,0', 0, 48.333333333333286, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 85, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 35, 0, 30, '', ''
584, '0,1,1,1,0,0,0,1,0,0', 0, 48.0555555555555, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 84, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 34, 0, 30, '', ''
583, '0,1,1,1,0,0,0,1,0,0', 0, 47.777777777777715, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 83, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 33, 0, 30, '', ''
582, '0,1,1,1,0,0,0,1,0,0', 0, 47.49999999999993, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 82, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 32, 0, 30, '', ''
581, '0,1,1,1,0,0,0,1,0,0', 0, 47.22222222222214, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 81, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 31, 0, 30, '', ''
580, '0,1,1,1,0,0,0,1,0,0', 0, 46.94444444444436, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 80, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 30, 0, 30, '', ''
579, '0,1,1,1,0,0,0,1,0,0', 0, 46.66666666666657, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 79, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 29, 0, 30, '', ''
578, '0,1,1,1,0,0,0,1,0,0', 0, 46.388888888888786, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 78, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 28, 0, 30, '', ''
577, '0,1,1,1,0,0,0,1,0,0', 0, 46.111111111111, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 77, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 27, 0, 30, '', ''
576, '0,1,1,1,0,0,0,1,0,0', 0, 45.833333333333215, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 76, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 26, 0, 30, '', ''
575, '0,1,1,1,0,0,0,1,0,0', 0, 45.55555555555543, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 75, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 25, 0, 30, '', ''
574, '0,1,1,1,0,0,0,1,0,0', 0, 45.277777777777644, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 74, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 24, 0, 30, '', ''
573, '0,1,1,1,0,0,0,1,0,0', 0, 44.99999999999986, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 73, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 23, 0, 30, '', ''
572, '0,1,1,1,0,0,0,1,0,0', 0, 44.72222222222207, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 72, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 22, 0, 30, '', ''
571, '0,1,1,1,0,0,0,1,0,0', 0, 44.44444444444429, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 71, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 21, 0, 30, '', ''
570, '0,1,1,1,0,0,0,1,0,0', 0, 44.1666666666665, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 70, 0, 50, '', '', 0, 0, '2', 75, 60, 3.141592653589793, 20, 0, 30, '', ''
569, '0,1,1,1,0,0,0,1,0,0', 0, 43.888888888888715, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 69, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 19, 0, 30, '', ''
568, '0,1,1,1,0,0,0,1,0,0', 0, 43.61111111111093, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 68, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 18, 0, 30, '', ''
567, '0,1,1,1,0,0,0,1,0,0', 0, 43.333333333333144, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 67, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 17, 0, 30, '', ''
566, '0,1,1,1,0,0,0,1,0,0', 0, 43.05555555555536, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 66, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 16, 0, 30, '', ''
565, '0,1,1,1,0,0,0,1,0,0', 0, 42.77777777777757, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 65, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 15, 0, 30, '', ''
564, '0,1,1,1,0,0,0,1,0,0', 0, 42.49999999999979, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 64, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 14, 0, 30, '', ''
563, '0,1,1,1,0,0,0,1,0,0', 0, 42.222222222222, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 63, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 13, 0, 30, '', ''
562, '0,1,1,1,0,0,0,1,0,0', 0, 41.944444444444215, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 62, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 12, 0, 30, '', ''
561, '0,1,1,1,0,0,0,1,0,0', 0, 41.66666666666643, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 61, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 11, 0, 30, '', ''
560, '0,1,1,1,0,0,0,1,0,0', 0, 41.388888888888644, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 73.05328774270873, 55.45120334837912, 3.561592653589793, 60, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 10, 0, 30, '', ''
