#robot1 : tanker, robot2 : speeder
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 100, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 50, 0, 30, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 99, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 49, 0, 30, '', ''
598, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 98, 0, 50, '', '', 0, 0, '', 74.33973150807226, 59.54828602128397, 3.7815926535897937, 48, 0, 30, 'rightDown,upDown', ''
597, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 97, 0, 50, '', '', 0, 0, '', 65.96072319946158, 43.08554852877438, 4.7415926535897945, 47, 0, 30, '', ''
596, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 96, 0, 50, '', '', 0, 0, '', 74.64133021602277, 26.7798265942179, 5.701592653589795, 46, 0, 30, '', ''
595, '0,0,0,0,0,0,0,0,0,0', 0, 49.722222222222214, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 95, 0, 50, '', '', 0, 0, '', 88.79581522390168, 21.41174784096743, 5.701592653589795, 45, 0, 30, 'rightUp,leftDown,upUp', ''
594, '0,0,0,0,0,0,0,0,0,0', 0, 49.44444444444443, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 94, 0, 50, '', '', 0, 0, '', 94.75128669922344, 13.882314960156997, 5.261592653589795, 48.5, 0, 30, 'leftUp,upDown,leftDown,upUp', ''
593, '0,0,0,0,0,0,0,0,0,0', 0, 49.16666666666664, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 93, 0, 50, '', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, 'upDown,leftUp,upUp', ''
592, '0,0,0,0,0,0,0,0,0,0', 0, 48.88888888888886, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 92, 0, 50, '', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, '', ''
591, '0,0,0,0,0,0,0,0,0,0', 0, 48.61111111111107, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 91, 0, 50, '', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, '', ''
590, '0,0,0,0,0,0,0,0,0,0', 0, 48.333333333333286, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 65.51839844727382, 38.90072949034368, 3.4775926535897934, 90, 0, 50, 'upDown,rightDown', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, '', ''
589, '0,0,0,0,0,0,0,0,0,0', 0, 48.0555555555555, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 64.39126166028366, 38.48929244552066, 4.149592653589791, 89, 0, 50, 'upUp', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, '', ''
588, '0,0,0,0,0,0,0,0,0,0', 0, 47.777777777777715, 'false,true,true,true,true,true,true,true,true', 0, 0, '', 64.39126166028366, 38.48929244552066, 4.821592653589781, 88, 0, 50, '', '', 0, 0, '', 95.4152015067965, 10.755215192018627, 4.861592653589795, 50, 0, 30, '', ''
