#robot1 : speeder, robot2 : tanker
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 50, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 100, 0, 50, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 49, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 99, 0, 50, '', ''
598, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 48, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 98, 0, 50, '', ''
597, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 47, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 97, 0, 50, '', ''
596, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'false,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 46, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 96, 0, 50, 's,s', ''
595, '0,0,0,0,0,0,1,0,0,0', 0, 49.722222222222214, 'false,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 45, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 95, 0, 50, 's,d,d,d', ''
594, '0,0,0,0,0,0,1,0,0,0', 0, 49.44444444444443, 'false,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 44, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 94, 0, 50, 'd,s', ''
593, '0,0,0,0,0,0,1,0,0,0', 0, 49.16666666666664, 'false,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 43, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 93, 0, 50, '', ''
592, '0,0,0,0,0,0,1,0,0,0', 0, 48.88888888888886, 'false,true,true,true,true,true,true,true,true', 0, false, '', 75, 60, 3.141592653589793, 42, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 92, 0, 50, '', ''
591, '0,0,0,0,0,0,1,0,0,0', 0, 48.61111111111107, 'false,true,true,true,true,false,true,true,true', 0, true, '', 75, 60, 3.141592653589793, 41, 0, 30, '', '', 0, false, '', 75, 40, 3.141592653589793, 91, 0, 50, '', ''
590, '0,0,0,0,0,0,1,0,0,0', 0, 48.0555555555555, 'false,true,true,true,true,false,true,true,true', 0, true, '', 62.84978664854455, 64.02645197588618, 2.8215926535898, 40, 0, 30, '', '', 0, false, '', 72.41461716332154, 41.521773829387314, 2.609592653589818, 90, 0, 50, '', ''
589, '0,0,0,0,0,0,1,0,0,0', 0, 47.49999999999993, 'false,true,true,true,true,false,true,true,true', 0, true, '', 44.2447724541287, 70.19195656396188, 2.8215926535898, 39, 0, 30, '', '', 0, false, '', 59.74624126359695, 48.97846559338515, 2.609592653589818, 89, 0, 50, '', ''
588, '0,0,0,0,0,0,1,0,0,0', 0, 46.94444444444436, 'false,true,true,true,true,false,true,true,true', 0, true, '', 25.63975825971285, 76.35746115203759, 2.8215926535898, 38, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 2.651592653589816, 88, 0, 50, '', ''
587, '0,0,0,0,0,0,1,0,0,0', 0, 46.388888888888786, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 3.701592653589781, 37, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 3.337592653589784, 87, 0, 50, '', ''
586, '0,0,0,0,0,0,1,0,0,0', 0, 45.833333333333215, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 4.68159265358976, 36, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 4.023592653589752, 86, 0, 50, '', ''
585, '0,0,0,0,0,0,1,0,0,0', 0, 45.277777777777644, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 5.661592653589739, 35, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 4.70959265358972, 85, 0, 50, '', ''
584, '0,0,0,0,0,0,1,0,0,0', 0, 44.72222222222207, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 0.3584073464101323, 34, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 5.395592653589688, 84, 0, 50, '', ''
583, '0,0,0,0,1,0,1,0,0,0', 0, 44.1666666666665, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 1.358407346410111, 33, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 6.095592653589655, 83, 0, 50, '', ''
582, '0,0,0,0,1,0,1,0,0,0', 0, 43.61111111111093, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 2.33840734641009, 32, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 0.4984073464100689, 82, 0, 50, '', ''
581, '0,0,0,0,1,0,1,0,0,0', 0, 43.05555555555536, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 3.318407346410069, 31, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 1.1844073464100804, 81, 0, 50, '', ''
580, '0,1,0,0,1,0,1,0,0,0', 0, 42.49999999999979, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 2.8784073464100786, 30, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 0.5124073464100691, 80, 0, 50, '', ''
579, '0,1,0,0,1,0,1,0,0,0', 0, 41.944444444444215, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 3.8584073464100577, 29, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 6.1095926535896545, 79, 0, 50, '', ''
578, '0,1,0,0,1,0,1,0,0,0', 0, 41.388888888888644, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 4.838407346410037, 28, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 5.423592653589687, 78, 0, 50, '', ''
577, '0,1,0,0,1,0,1,0,0,1', 0, 40.83333333333307, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 5.818407346410016, 27, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 4.737592653589719, 77, 0, 50, '', ''
576, '0,1,0,0,1,0,1,0,0,1', 0, 40.2777777777775, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 0.5152220392304088, 26, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 4.051592653589751, 76, 0, 50, '', ''
575, '0,1,0,0,1,0,1,0,0,1', 0, 39.72222222222193, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 1.4952220392303879, 25, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 3.3655926535897827, 75, 0, 50, '', ''
574, '0,1,0,0,1,0,1,0,0,1', 0, 39.16666666666636, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 2.4952220392303666, 24, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 2.6655926535898153, 74, 0, 50, '', ''
573, '0,1,0,0,1,0,1,0,0,1', 0, 38.61111111111079, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 3.4752220392303457, 23, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 1.9795926535898474, 73, 0, 50, '', ''
572, '0,1,0,0,1,0,1,0,0,1', 0, 38.055555555555216, 'false,true,true,true,true,false,true,true,true', 0, true, '', 23.741287423547966, 76.9865942732698, 4.455222039230325, 22, 0, 30, '', '', 0, false, '', 47.853480214875695, 55.9786252085668, 1.2935926535898519, 72, 0, 50, '', ''
571, '0,1,0,0,1,0,1,0,0,1', 0, 37.499999999999645, 'false,true,true,true,true,false,true,true,false', 0, true, '', 23.741287423547966, 76.9865942732698, 5.435222039230304, 21, 0, 30, '', '', 0, true, '', 47.853480214875695, 55.9786252085668, 0.6215926535898406, 71, 0, 50, '', ''
570, '0,1,0,0,1,0,1,0,0,1', 0, 36.66666666666632, 'false,true,true,true,true,false,true,true,false', 0, true, '2', 23.741287423547966, 76.9865942732698, 4.455222039230325, 20, 0, 30, '', '', 0, true, '', 47.853480214875695, 55.9786252085668, 6.218777960769419, 70, 0, 50, '', ''
569, '0,1,0,0,1,0,1,0,0,1', 0, 35.833333333333, 'false,true,true,true,true,false,true,true,false', 0, true, '', 23.741287423547966, 76.9865942732698, 3.4752220392303457, 19, 0, 30, '', '', 0, true, '', 47.853480214875695, 55.9786252085668, 5.532777960769451, 69, 0, 50, '', ''
568, '0,1,0,0,1,0,1,0,0,1', 0, 34.99999999999968, 'false,true,true,true,true,false,true,true,false', 0, true, '', 23.741287423547966, 76.9865942732698, 2.475222039230367, 18, 0, 30, '', '', 0, true, '', 47.853480214875695, 55.9786252085668, 4.832777960769484, 68, 0, 50, '', ''
567, '0,1,0,0,1,0,1,0,0,1', 0, 34.16666666666636, 'false,true,true,true,true,false,true,true,false', 0, true, '', 23.741287423547966, 76.9865942732698, 1.4952220392303879, 17, 0, 30, '', '', 0, true, '', 47.853480214875695, 55.9786252085668, 4.146777960769516, 67, 0, 50, '', ''
