#robot1 : tanker, robot2 : speeder
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.4775926535897934, 100, 0, 50, 'rightDown', '', 0, 0, '', 75, 60, 3.141592653589793, 50, 0, 30, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 4.177592653589791, 99, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 49, 0, 30, '', ''
598, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 4.8775926535897804, 98, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 48, 0, 30, '', ''
597, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 78.75635861964057, 34.57443185278445, 5.325592653589774, 97, 0, 50, 'upDown,rightUp', '', 0, 0, '', 75, 60, 3.141592653589793, 47, 0, 30, '', ''
596, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 88.66631203487495, 24.15289404484384, 5.521592653589771, 96, 0, 50, 'rightDown,rightUp,rightDown,rightUp', '', 0, 0, '', 75, 60, 3.141592653589793, 46, 0, 30, '', ''
595, '0,0,0,1,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, 'leftDown,upUp,leftUp', '', 0, 0, '', 75, 60, 3.141592653589793, 45, 0, 30, '', ''
594, '0,0,0,1,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 44, 0, 30, '', ''
593, '0,0,0,1,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 75, 60, 3.141592653589793, 43, 0, 30, '', ''
592, '0,0,0,1,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 75, 60, 3.5015926535897934, 42, 0, 30, 'rightDown', ''
591, '0,0,0,1,0,0,0,0,0,1', 0, 50, 'true,false,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 75, 60, 4.501592653589794, 41, 0, 30, '', ''
590, '0,0,0,1,0,0,0,0,0,1', 0, 49.722222222222214, 'true,false,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 79.65073478275843, 51.67191855708674, 5.341592653589795, 40, 0, 30, 'upDown,rightUp', ''
589, '0,0,1,1,0,0,0,0,0,1', 0, 49.44444444444443, 'true,false,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 89.87481217360562, 34.6788042589366, 4.941592653589795, 39, 0, 30, 'leftDown,leftUp', ''
588, '0,0,1,1,0,0,0,0,0,1', 0, 49.16666666666664, 'true,false,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 93.3282840129406, 19.876320269588035, 4.941592653589795, 40, 0, 30, 'upUp', ''
587, '0,0,1,1,0,0,0,0,0,1', 0, 48.88888888888886, 'true,false,true,true,true,true,true,true,true', 0, 0, '', 96.1702417801981, 14.910622848416942, 5.101592653589777, 100, 0, 50, '', '', 0, 0, '', 94.41885406746744, 15.201851641372699, 4.941592653589795, 49, 0, 30, 'upDown,upUp,upDown,upUp', ''
