#robot1 : tanker, robot2 : speeder
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
580, '0,1,0,0,1,0,0,0,0,0', 0, 48.11111111111106, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 80, 0, 50, '', '', 0, 0, '', 44.49021500967358, 72.6194126301777, 2.6615926535897927, 30, 0, 30, 'leftDown,upUp', ''
579, '0,1,0,0,1,0,0,0,0,0', 0, 48.11111111111106, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 79, 0, 50, '', '', 0, 0, '', 49.23568908027043, 65.54410883817052, 1.6615926535897918, 29, 0, 30, 'downDown,downUp', ''
578, '0,1,0,0,1,0,0,0,0,0', 0, 48.11111111111106, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 78, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, 0.9815926535897912, 28, 0, 30, 'upDown,leftUp,upUp', ''
577, '0,1,0,0,1,0,0,0,0,0', 0, 48.11111111111106, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 77, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, 0.741592653589791, 27, 0, 30, 'leftDown', ''
576, '0,1,0,0,1,0,0,0,0,0', 0, 48.11111111111106, 'true,true,true,true,true,false,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 76, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.21840734641020917, 26, 0, 30, '', ''
575, '0,1,0,0,1,0,0,0,0,0', 0, 47.83333333333327, 'true,true,true,true,true,false,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 75, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 25, 0, 30, 'leftUp', ''
574, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 74, 0, 50, '', 'clickLeak5', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 24, 0, 30, 'a', ''
573, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 73, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 23, 0, 30, '', ''
572, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 72, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 22, 0, 30, '', ''
571, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 71, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 21, 0, 30, '', ''
570, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 70, 0, 50, '', '', 0, 0, '2', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 20, 0, 30, '', ''
569, '0,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 69, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 19, 0, 30, '', ''
568, '1,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 68, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 18, 0, 30, '', ''
567, '1,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 67, 0, 50, '', '', 0, 0, '', 52.83300287394096, 76.80508010624646, -0.7384073464102092, 17, 0, 30, '', ''
566, '1,1,1,0,1,0,0,0,0,0', 0, 47.555555555555486, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 66, 0, 50, '', '', 0, 0, '', 55.64121594372092, 66.0363842364697, -1.4184073464102098, 16, 0, 30, 'leftDown,upDown,leftUp', ''
565, '1,1,1,0,1,0,0,0,0,0', 0, 47.2777777777777, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 65, 0, 50, '', '', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 15, 0, 30, 'upUp', ''
564, '1,1,1,0,1,0,0,0,0,0', 0, 46.999999999999915, 'true,true,true,false,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 64, 0, 50, '', '', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 14, 0, 30, 'a', ''
563, '1,1,1,0,1,0,0,0,0,0', 0, 46.94444444444436, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 63, 0, 50, '', 'clickLeak3', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 13, 0, 30, '', ''
562, '1,1,1,0,1,0,0,0,0,0', 0, 46.94444444444436, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 62, 0, 50, '', '', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 12, 0, 30, '', ''
561, '1,1,1,0,1,0,0,0,0,0', 0, 46.94444444444436, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 61, 0, 50, '', '', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 11, 0, 30, '', ''
560, '1,1,1,0,1,0,0,0,0,0', 0, 46.94444444444436, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 40, 3.141592653589793, 60, 0, 50, '', '', 0, 0, '', 56.491295151311704, 60.501281225610576, -1.4184073464102098, 10, 0, 30, '', ''
