#robot1 : speeder, robot2 : tanker
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 60, 3.6615926535897936, 50, 0, 30, 'rightDown', '', 0, 0, '', 75, 40, 3.141592653589793, 100, 0, 50, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 73.5421233262449, 53.79583394321811, 4.6615926535897945, 49, 0, 30, 'upDown', '', 0, 0, '', 75, 40, 3.141592653589793, 99, 0, 50, '', ''
598, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 81.0350065593973, 35.896974880249324, 5.381592653589795, 48, 0, 30, 'rightUp', '', 0, 0, '', 75, 40, 3.141592653589793, 98, 0, 50, '', ''
597, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 91.04847300065062, 21.433551730333463, 5.301592653589795, 47, 0, 30, 'leftDown,leftUp', '', 0, 0, '', 75, 40, 3.141592653589793, 97, 0, 50, '', ''
596, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, 'upUp', '', 0, 0, '', 75, 40, 3.141592653589793, 96, 0, 50, '', ''
595, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 75, 40, 3.141592653589793, 95, 0, 50, '', ''
594, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 75, 40, 3.253592653589793, 94, 0, 50, 'rightDown', ''
593, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 75, 40, 3.953592653589794, 93, 0, 50, '', ''
592, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 73.29098209520296, 33.04034957730943, 4.653592653589784, 92, 0, 50, 'upDown', ''
591, '0,0,0,0,1,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 77.31282195320078, 18.905280749958006, 5.353592653589773, 91, 0, 50, '', ''
590, '0,0,0,0,1,0,0,0,0,0', 0, 49.722222222222214, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 83.94458419313598, 14.208322436909596, 6.053592653589763, 90, 0, 50, 'upUp,upDown', ''
589, '0,0,0,0,1,0,0,0,0,0', 0, 49.44444444444443, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 97.09132970242972, 13.751201609957235, 6.305592653589759, 100, 0, 50, 'rightUp,upUp', ''
588, '0,0,0,0,1,0,0,0,0,0', 0, 49.16666666666664, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 97.09132970242972, 13.751201609957235, 6.305592653589759, 100, 0, 50, '', ''
587, '0,0,0,0,1,0,0,0,0,0', 0, 48.88888888888886, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 97.09132970242972, 13.751201609957235, 6.305592653589759, 100, 0, 50, '', ''
586, '0,0,0,0,1,0,0,0,0,0', 0, 48.61111111111107, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 97.09132970242972, 13.751201609957235, 6.305592653589759, 100, 0, 50, '', ''
585, '0,0,0,0,1,0,0,0,0,0', 0, 48.333333333333286, 'true,true,true,true,true,true,false,true,true', 0, 0, '', 95.93862548765608, 14.117377275481067, 5.301592653589795, 50, 0, 30, '', '', 0, 0, '', 97.09132970242972, 13.751201609957235, 6.305592653589759, 100, 0, 50, '', ''
