#robot1 : speeder, robot2 : tanker
# remaining_time, trees_state, global_score, ground_tank_water_level, leaks, personnal_score1, autonomous1, alarms1, robot1_x, robot1_y, robot1_theta, robot1_battery, robot1_temperature, robot1_waterlevel, robot1_shortkeys, robot1_clicks, personnal_score2, autonomous2, alarms2, robot2_x, robot2_y, robot2_theta, robot2_battery, robot2_temperature, robot2_waterlevel, robot2_shortkeys, robot2_clicks  
600, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 60, 3.141592653589793, 50, 0, 30, '', '', 0, 0, '', 75, 40, 3.141592653589793, 100, 0, 50, '', ''
599, '0,0,0,0,0,0,0,0,0,0', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 60, 3.141592653589793, 49, 0, 30, '', '', 0, 0, '', 75, 40, 3.057592653589793, 99, 0, 50, 'leftDown,leftUp,upDown,upUp,leftDown', ''
598, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 60, 3.141592653589793, 48, 0, 30, '', '', 0, 0, '', 69.27599923133624, 41.733079848671025, 2.5815926535897926, 98, 0, 50, 'upDown,upUp,leftUp,leftDown', ''
597, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,true', 0, 0, '', 75, 60, 3.141592653589793, 47, 0, 30, '', '', 0, 0, '', 69.27599923133624, 41.733079848671025, 1.909592653589792, 97, 0, 50, '', ''
596, '0,0,0,0,0,0,0,0,0,1', 0, 50, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 46, 0, 30, '', '', 0, 0, '', 68.19112331240397, 45.16551821413614, 1.769592653589792, 96, 0, 50, 'leftUp,upDown,leftDown,upUp', ''
595, '0,0,0,0,0,0,0,0,1,1', 0, 49.722222222222214, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 45, 0, 30, '', '', 0, 0, '', 69.56639494836071, 49.75397656598238, 1.1535926535897914, 95, 0, 50, 'upDown', ''
594, '0,0,0,0,0,0,0,0,1,1', 0, 49.44444444444443, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 44, 0, 30, '', '', 0, 0, '', 70.84305839016216, 52.46856706366788, 1.0975926535897913, 94, 0, 50, 'leftUp,leftDown,upUp,leftUp', ''
593, '0,0,0,0,0,0,0,0,1,1', 0, 49.16666666666664, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 43, 0, 30, '', '', 0, 0, '', 71.66339083984958, 54.07077013194288, 1.0975926535897913, 93, 0, 50, 'upDown,upUp', ''
592, '0,0,0,0,0,0,0,0,1,1', 0, 48.88888888888886, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 42, 0, 30, '', '', 0, 0, '', 71.66339083984958, 54.07077013194288, 1.0975926535897913, 92, 0, 50, '', ''
591, '0,0,0,0,0,0,0,0,1,1', 0, 48.61111111111107, 'true,true,true,true,true,true,true,true,false', 0, 0, '', 75, 60, 3.141592653589793, 41, 0, 30, '', '', 0, 0, '', 69.20239349078717, 49.26416092711787, 1.0975926535897913, 91, 0, 50, 'downDown', ''
